ticker,date,average,volume
PETR4,2024-05-08,41.0,1039452397.0
PETR4,2024-05-09,41.41,1126790802.0
PETR4,2024-05-10,41.72,1165815931.0
PETR4,2024-05-13,41.67,766633217.0
PETR4,2024-05-14,40.82,2188941410.0
PETR4,2024-05-15,38.18,5013250148.0
PETR4,2024-05-16,37.65,3132071916.0
PETR4,2024-05-17,36.8,2473470544.0
PETR4,2024-05-20,36.85,1488885033.0
PETR4,2024-05-21,36.81,1029538227.0
PETR4,2024-05-22,36.97,1350741770.0
PETR4,2024-05-23,37.15,1782791569.0
PETR4,2024-05-24,36.8,870276334.0
PETR4,2024-05-27,36.93,503136129.0
PETR4,2024-05-28,37.87,1758632882.0
PETR4,2024-05-29,37.71,1103048718.0
PETR4,2024-05-31,38.5,2076429958.0
PETR4,2024-06-03,38.65,1679575458.0
PETR4,2024-06-04,38.02,1296187645.0
PETR4,2024-06-05,38.24,712430106.0
PETR4,2024-06-06,38.51,999325145.0
PETR4,2024-06-07,37.57,1726288847.0
PETR4,2024-06-10,37.68,1227166538.0
PETR4,2024-06-11,37.69,1173401499.0
PETR4,2024-06-12,36.13,1885737794.0
PETR4,2024-06-13,35.47,1640148584.0
PETR4,2024-06-14,34.85,1865342113.0
PETR4,2024-06-17,34.75,1422860888.0
PETR4,2024-06-18,35.67,1290601327.0
PETR4,2024-06-19,35.84,744678441.0
PETR4,2024-06-20,36.58,1442875809.0
PETR4,2024-06-21,36.71,1590901590.0
PETR4,2024-06-24,36.82,905846467.0
PETR4,2024-06-25,36.93,686061771.0
PETR4,2024-06-26,36.94,944165062.0
PETR4,2024-06-27,37.63,1420139848.0
PETR4,2024-06-28,37.97,836216366.0
